candidate_id,region_id,candidate_ranking_mode,rank_after_simulation,ranking_score,simulation_status,sample_match_rate,grammar_family,expression_depth,rtl_cost
arithmetic_affine_w2__compress2rs__whole_output_cone__cand_0014,arithmetic_affine_w2__compress2rs__whole_output_cone,hybrid,22,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__compress2rs__whole_output_cone__cand_0015,arithmetic_affine_w2__compress2rs__whole_output_cone,hybrid,23,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__compress2rs__whole_output_cone__cand_0016,arithmetic_affine_w2__compress2rs__whole_output_cone,hybrid,24,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__compress2rs__whole_output_cone__cand_0017,arithmetic_affine_w2__compress2rs__whole_output_cone,hybrid,25,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__compress2rs__whole_output_cone__cand_0018,arithmetic_affine_w2__compress2rs__whole_output_cone,hybrid,26,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__compress2rs__whole_output_cone__cand_0019,arithmetic_affine_w2__compress2rs__whole_output_cone,hybrid,27,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__compress2rs__whole_output_cone__cand_0020,arithmetic_affine_w2__compress2rs__whole_output_cone,hybrid,28,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0001,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,1,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,2
arithmetic_affine_w2__dc2__whole_output_cone__cand_0002,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,2,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,2
arithmetic_affine_w2__dc2__whole_output_cone__cand_0021,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,3,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__dc2__whole_output_cone__cand_0022,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,4,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__dc2__whole_output_cone__cand_0023,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,5,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__dc2__whole_output_cone__cand_0024,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,6,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__dc2__whole_output_cone__cand_0025,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,7,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__dc2__whole_output_cone__cand_0026,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,8,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__dc2__whole_output_cone__cand_0027,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,9,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__dc2__whole_output_cone__cand_0028,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,10,0.954545,simulation_mismatch,0.954545,boolean_direct,1,2
arithmetic_affine_w2__dc2__whole_output_cone__cand_0003,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,11,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0004,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,12,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0005,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,13,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0006,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,14,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0007,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,15,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0008,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,16,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0009,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,17,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0010,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,18,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0011,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,19,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0012,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,20,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0013,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,21,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0014,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,22,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0015,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,23,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0016,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,24,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0017,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,25,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0018,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,26,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0019,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,27,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__dc2__whole_output_cone__cand_0020,arithmetic_affine_w2__dc2__whole_output_cone,hybrid,28,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0001,arithmetic_affine_w2__identity__ground_truth_region,hybrid,1,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,2
arithmetic_affine_w2__identity__ground_truth_region__cand_0002,arithmetic_affine_w2__identity__ground_truth_region,hybrid,2,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,2
arithmetic_affine_w2__identity__ground_truth_region__cand_0021,arithmetic_affine_w2__identity__ground_truth_region,hybrid,3,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__ground_truth_region__cand_0022,arithmetic_affine_w2__identity__ground_truth_region,hybrid,4,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__ground_truth_region__cand_0023,arithmetic_affine_w2__identity__ground_truth_region,hybrid,5,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__ground_truth_region__cand_0024,arithmetic_affine_w2__identity__ground_truth_region,hybrid,6,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__ground_truth_region__cand_0025,arithmetic_affine_w2__identity__ground_truth_region,hybrid,7,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__ground_truth_region__cand_0026,arithmetic_affine_w2__identity__ground_truth_region,hybrid,8,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__ground_truth_region__cand_0027,arithmetic_affine_w2__identity__ground_truth_region,hybrid,9,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__ground_truth_region__cand_0028,arithmetic_affine_w2__identity__ground_truth_region,hybrid,10,0.954545,simulation_mismatch,0.954545,boolean_direct,1,2
arithmetic_affine_w2__identity__ground_truth_region__cand_0003,arithmetic_affine_w2__identity__ground_truth_region,hybrid,11,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0004,arithmetic_affine_w2__identity__ground_truth_region,hybrid,12,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0005,arithmetic_affine_w2__identity__ground_truth_region,hybrid,13,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0006,arithmetic_affine_w2__identity__ground_truth_region,hybrid,14,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0007,arithmetic_affine_w2__identity__ground_truth_region,hybrid,15,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0008,arithmetic_affine_w2__identity__ground_truth_region,hybrid,16,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0009,arithmetic_affine_w2__identity__ground_truth_region,hybrid,17,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0010,arithmetic_affine_w2__identity__ground_truth_region,hybrid,18,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0011,arithmetic_affine_w2__identity__ground_truth_region,hybrid,19,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0012,arithmetic_affine_w2__identity__ground_truth_region,hybrid,20,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0013,arithmetic_affine_w2__identity__ground_truth_region,hybrid,21,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0014,arithmetic_affine_w2__identity__ground_truth_region,hybrid,22,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0015,arithmetic_affine_w2__identity__ground_truth_region,hybrid,23,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0016,arithmetic_affine_w2__identity__ground_truth_region,hybrid,24,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0017,arithmetic_affine_w2__identity__ground_truth_region,hybrid,25,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0018,arithmetic_affine_w2__identity__ground_truth_region,hybrid,26,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0019,arithmetic_affine_w2__identity__ground_truth_region,hybrid,27,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__ground_truth_region__cand_0020,arithmetic_affine_w2__identity__ground_truth_region,hybrid,28,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0001,arithmetic_affine_w2__identity__whole_output_cone,hybrid,1,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,2
arithmetic_affine_w2__identity__whole_output_cone__cand_0002,arithmetic_affine_w2__identity__whole_output_cone,hybrid,2,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,2
arithmetic_affine_w2__identity__whole_output_cone__cand_0021,arithmetic_affine_w2__identity__whole_output_cone,hybrid,3,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__whole_output_cone__cand_0022,arithmetic_affine_w2__identity__whole_output_cone,hybrid,4,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__whole_output_cone__cand_0023,arithmetic_affine_w2__identity__whole_output_cone,hybrid,5,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__whole_output_cone__cand_0024,arithmetic_affine_w2__identity__whole_output_cone,hybrid,6,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__whole_output_cone__cand_0025,arithmetic_affine_w2__identity__whole_output_cone,hybrid,7,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__whole_output_cone__cand_0026,arithmetic_affine_w2__identity__whole_output_cone,hybrid,8,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__whole_output_cone__cand_0027,arithmetic_affine_w2__identity__whole_output_cone,hybrid,9,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__identity__whole_output_cone__cand_0028,arithmetic_affine_w2__identity__whole_output_cone,hybrid,10,0.954545,simulation_mismatch,0.954545,boolean_direct,1,2
arithmetic_affine_w2__identity__whole_output_cone__cand_0003,arithmetic_affine_w2__identity__whole_output_cone,hybrid,11,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0004,arithmetic_affine_w2__identity__whole_output_cone,hybrid,12,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0005,arithmetic_affine_w2__identity__whole_output_cone,hybrid,13,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0006,arithmetic_affine_w2__identity__whole_output_cone,hybrid,14,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0007,arithmetic_affine_w2__identity__whole_output_cone,hybrid,15,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0008,arithmetic_affine_w2__identity__whole_output_cone,hybrid,16,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0009,arithmetic_affine_w2__identity__whole_output_cone,hybrid,17,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0010,arithmetic_affine_w2__identity__whole_output_cone,hybrid,18,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0011,arithmetic_affine_w2__identity__whole_output_cone,hybrid,19,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0012,arithmetic_affine_w2__identity__whole_output_cone,hybrid,20,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0013,arithmetic_affine_w2__identity__whole_output_cone,hybrid,21,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0014,arithmetic_affine_w2__identity__whole_output_cone,hybrid,22,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0015,arithmetic_affine_w2__identity__whole_output_cone,hybrid,23,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0016,arithmetic_affine_w2__identity__whole_output_cone,hybrid,24,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0017,arithmetic_affine_w2__identity__whole_output_cone,hybrid,25,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0018,arithmetic_affine_w2__identity__whole_output_cone,hybrid,26,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0019,arithmetic_affine_w2__identity__whole_output_cone,hybrid,27,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__identity__whole_output_cone__cand_0020,arithmetic_affine_w2__identity__whole_output_cone,hybrid,28,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__refactor__whole_output_cone__cand_0001,arithmetic_affine_w2__refactor__whole_output_cone,hybrid,1,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,2
arithmetic_affine_w2__refactor__whole_output_cone__cand_0002,arithmetic_affine_w2__refactor__whole_output_cone,hybrid,2,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,2
arithmetic_affine_w2__refactor__whole_output_cone__cand_0021,arithmetic_affine_w2__refactor__whole_output_cone,hybrid,3,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__refactor__whole_output_cone__cand_0022,arithmetic_affine_w2__refactor__whole_output_cone,hybrid,4,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__refactor__whole_output_cone__cand_0023,arithmetic_affine_w2__refactor__whole_output_cone,hybrid,5,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__refactor__whole_output_cone__cand_0024,arithmetic_affine_w2__refactor__whole_output_cone,hybrid,6,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__refactor__whole_output_cone__cand_0025,arithmetic_affine_w2__refactor__whole_output_cone,hybrid,7,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__refactor__whole_output_cone__cand_0026,arithmetic_affine_w2__refactor__whole_output_cone,hybrid,8,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__refactor__whole_output_cone__cand_0027,arithmetic_affine_w2__refactor__whole_output_cone,hybrid,9,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__refactor__whole_output_cone__cand_0028,arithmetic_affine_w2__refactor__whole_output_cone,hybrid,10,0.954545,simulation_mismatch,0.954545,boolean_direct,1,2
