benchmark,optimization,depth,optimized_node,rank,original_candidate,region_score,cone_sim_score,cone_support_jaccard,cone_size_sim,opt_cone_size,orig_cone_size,opt_cone_pis,orig_cone_pis
majority3,rewrite,3,new_n6,3,new_n7,0.6083333333333333,0.75,0.3333333333333333,1.0,1,1,2,2
majority3,rewrite,3,new_n6,4,new_n8,0.3625,0.125,0.6666666666666666,0.3333333333333333,1,3,2,3
majority3,rewrite,1,new_n7,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
majority3,rewrite,1,new_n7,2,new_n5,0.6083333333333333,0.75,0.3333333333333333,1.0,1,1,2,2
majority3,rewrite,1,new_n7,3,new_n7,0.6083333333333333,0.75,0.3333333333333333,1.0,1,1,2,2
majority3,rewrite,1,new_n7,4,new_n8,0.3625,0.125,0.6666666666666666,0.3333333333333333,1,3,2,3
majority3,rewrite,2,new_n7,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
majority3,rewrite,2,new_n7,2,new_n5,0.6083333333333333,0.75,0.3333333333333333,1.0,1,1,2,2
majority3,rewrite,2,new_n7,3,new_n7,0.6083333333333333,0.75,0.3333333333333333,1.0,1,1,2,2
majority3,rewrite,2,new_n7,4,new_n8,0.3625,0.125,0.6666666666666666,0.3333333333333333,1,3,2,3
majority3,rewrite,3,new_n7,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
majority3,rewrite,3,new_n7,2,new_n5,0.6083333333333333,0.75,0.3333333333333333,1.0,1,1,2,2
majority3,rewrite,3,new_n7,3,new_n7,0.6083333333333333,0.75,0.3333333333333333,1.0,1,1,2,2
majority3,rewrite,3,new_n7,4,new_n8,0.3625,0.125,0.6666666666666666,0.3333333333333333,1,3,2,3
majority3,rewrite,1,new_n8,1,new_n8,1.0,1.0,1.0,1.0,3,3,3,3
majority3,rewrite,1,new_n8,2,new_n7,0.4875,0.375,0.6666666666666666,0.3333333333333333,3,1,3,2
majority3,rewrite,1,new_n8,3,new_n5,0.3625,0.125,0.6666666666666666,0.3333333333333333,3,1,3,2
majority3,rewrite,1,new_n8,4,new_n6,0.3625,0.125,0.6666666666666666,0.3333333333333333,3,1,3,2
majority3,rewrite,2,new_n8,1,new_n8,1.0,1.0,1.0,1.0,3,3,3,3
majority3,rewrite,2,new_n8,2,new_n7,0.4875,0.375,0.6666666666666666,0.3333333333333333,3,1,3,2
majority3,rewrite,2,new_n8,3,new_n5,0.3625,0.125,0.6666666666666666,0.3333333333333333,3,1,3,2
majority3,rewrite,2,new_n8,4,new_n6,0.3625,0.125,0.6666666666666666,0.3333333333333333,3,1,3,2
majority3,rewrite,3,new_n8,1,new_n8,1.0,1.0,1.0,1.0,3,3,3,3
majority3,rewrite,3,new_n8,2,new_n7,0.4875,0.375,0.6666666666666666,0.3333333333333333,3,1,3,2
majority3,rewrite,3,new_n8,3,new_n5,0.3625,0.125,0.6666666666666666,0.3333333333333333,3,1,3,2
majority3,rewrite,3,new_n8,4,new_n6,0.3625,0.125,0.6666666666666666,0.3333333333333333,3,1,3,2
mux2,balance,1,new_n5,1,new_n5,1.0,1.0,1.0,1.0,1,1,2,2
mux2,balance,1,new_n5,2,new_n6,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,balance,2,new_n5,1,new_n5,1.0,1.0,1.0,1.0,1,1,2,2
mux2,balance,2,new_n5,2,new_n6,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,balance,3,new_n5,1,new_n5,1.0,1.0,1.0,1.0,1,1,2,2
mux2,balance,3,new_n5,2,new_n6,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,balance,1,new_n6,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
