case_id,benchmark,optimization,coi_name,context_mode,ranking_mode,boundary_side,frontier_root,spec_node,impl_node,requested_polarity,candidate_rank,spec_distance,impl_distance,support_overlap,support_size_difference,fanin_degree_difference,fanout_degree_difference,structural_score,signature_similarity,sampled_mismatch_rate,sampled_output_error_rate,simulation_filter_status
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n21,new_n21,new_n17,inverted,7,0,2,0,0,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n15|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n17,new_n17,new_n15,positive,8,0,1,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n17|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n21,new_n21,new_n17,positive,8,0,2,0,0,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n17|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n17,new_n17,inverted,1,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n21|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n21,inverted,1,0,0,0,1,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n22|new_n22|new_n22|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n22,new_n22,new_n22,inverted,1,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n17|new_n17|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n17,new_n17,positive,2,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n21|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n21,positive,2,0,0,0,1,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n22|new_n22|new_n22|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n22,new_n22,new_n22,positive,2,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n15|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n15,new_n17,inverted,3,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n15|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n15,inverted,3,0,1,0,0,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n15|new_n17|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n15,new_n17,positive,4,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n15|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n15,positive,4,0,1,0,0,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n16|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n16,new_n17,inverted,5,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n18|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n18,inverted,5,0,1,0,1,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n16|new_n17|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n16,new_n17,positive,6,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n18|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n18,positive,6,0,1,0,1,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n17|new_n15|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n17,new_n15,inverted,7,0,1,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n17,inverted,7,0,2,0,0,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n17|new_n15|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n17,new_n15,positive,8,0,1,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n17|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n17,positive,8,0,2,0,0,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n17|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n17,new_n17,new_n17,inverted,1,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n21|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n21,new_n21,new_n21,inverted,1,0,0,0,1,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n22|new_n22|new_n22|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n22,new_n22,new_n22,inverted,1,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n17|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n17,new_n17,new_n17,positive,2,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n21|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n21,new_n21,new_n21,positive,2,0,0,0,1,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n22|new_n22|new_n22|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n22,new_n22,new_n22,positive,2,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n15|new_n17|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n17,new_n15,new_n17,inverted,3,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n15|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n21,new_n21,new_n15,inverted,3,0,1,0,0,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n15|new_n17|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n17,new_n15,new_n17,positive,4,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n15|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n21,new_n21,new_n15,positive,4,0,1,0,0,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n16|new_n17|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n17,new_n16,new_n17,inverted,5,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n18|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n21,new_n21,new_n18,inverted,5,0,1,0,1,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n16|new_n17|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n17,new_n16,new_n17,positive,6,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n18|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n21,new_n21,new_n18,positive,6,0,1,0,1,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n15|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n17,new_n17,new_n15,inverted,7,0,1,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n17|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n21,new_n21,new_n17,inverted,7,0,2,0,0,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n15|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n17,new_n17,new_n15,positive,8,0,1,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n17|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,combined,ebi,new_n21,new_n21,new_n17,positive,8,0,2,0,0,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n17|new_n17|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n17,new_n17,inverted,1,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n21|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n21,inverted,1,0,0,0,1,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n22|new_n22|new_n22|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n22,new_n22,new_n22,inverted,1,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n17|new_n17|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n17,new_n17,positive,2,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n21|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n21,positive,2,0,0,0,1,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n22|new_n22|new_n22|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n22,new_n22,new_n22,positive,2,0,0,2,0,0,1,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n15|new_n17|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n15,new_n17,inverted,3,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n15|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n15,inverted,3,0,1,0,0,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n15|new_n17|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n15,new_n17,positive,4,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n15|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n15,positive,4,0,1,0,0,0,1,0.3333333333333333,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n16|new_n17|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n16,new_n17,inverted,5,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n18|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n18,inverted,5,0,1,0,1,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n16|new_n17|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n16,new_n17,positive,6,1,0,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n18|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n18,positive,6,0,1,0,1,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n17|new_n15|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n17,new_n15,inverted,7,0,1,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n17|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n17,inverted,7,0,2,0,0,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n17|new_n15|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n17,new_n17,new_n15,positive,8,0,1,2,0,0,1,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n17|positive,generated_adder_4,resyn2,adder_bit1_carry_sum_region,coi_output_odc,combined,ebi,new_n21,new_n21,new_n17,positive,8,0,2,0,0,0,1,0.25,0.0,1.0,1.0,sampled_contextual_candidate
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n10|new_n10|new_n10|inverted,generated_mux_tree_4,resyn2,mux_tree_root,global_output_odc,combined,ebi,new_n10,new_n10,new_n10,inverted,1,0,0,3,0,0,0,1.0,1.0,0.0,0.0,sampled_contextual_candidate
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n13|new_n11|new_n13|inverted,generated_mux_tree_4,resyn2,mux_tree_root,global_output_odc,combined,ebi,new_n13,new_n11,new_n13,inverted,1,1,0,2,0,0,0,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n10|new_n10|new_n10|positive,generated_mux_tree_4,resyn2,mux_tree_root,global_output_odc,combined,ebi,new_n10,new_n10,new_n10,positive,2,0,0,3,0,0,0,1.0,1.0,0.0,0.0,sampled_contextual_candidate
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n13|new_n11|new_n13|positive,generated_mux_tree_4,resyn2,mux_tree_root,global_output_odc,combined,ebi,new_n13,new_n11,new_n13,positive,2,1,0,2,0,0,0,0.5,1.0,0.0,0.0,sampled_contextual_candidate
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n10|new_n8|new_n9|inverted,generated_mux_tree_4,resyn2,mux_tree_root,global_output_odc,combined,ebi,new_n10,new_n8,new_n9,inverted,3,1,1,2,0,0,0,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n13|new_n13|new_n13|inverted,generated_mux_tree_4,resyn2,mux_tree_root,global_output_odc,combined,ebi,new_n13,new_n13,new_n13,inverted,3,0,0,2,1,0,0,0.5,0.6666666666666666,0.33333333333333337,0.33333333333333337,sampled_contextual_candidate
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n10|new_n8|new_n9|positive,generated_mux_tree_4,resyn2,mux_tree_root,global_output_odc,combined,ebi,new_n10,new_n8,new_n9,positive,4,1,1,2,0,0,0,0.3333333333333333,1.0,0.0,0.0,sampled_contextual_candidate
