boundary_id,trajectory_id,method,first_loss_checkpoint,last_success_checkpoint,non_monotonic,recoverable_fraction,longest_success_interval,schema_version
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,blind_functional_refactoring,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,blind_region_replacement,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,blind_semantic_cegis,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,functional_decomposition,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,functional_survival,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,structural,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,blind_functional_refactoring,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,blind_region_replacement,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,blind_semantic_cegis,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,functional_decomposition,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,2,true,0.500000,1,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,functional_survival,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,structural,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,blind_functional_refactoring,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,blind_region_replacement,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,blind_semantic_cegis,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,functional_decomposition,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,functional_survival,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,structural,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,blind_functional_refactoring,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,blind_region_replacement,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,blind_semantic_cegis,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,functional_decomposition,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,3,true,0.500000,1,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,functional_survival,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,structural,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,blind_functional_refactoring,controlled__controlled_xor_factor__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,blind_region_replacement,controlled__controlled_xor_factor__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,blind_semantic_cegis,controlled__controlled_xor_factor__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,functional_decomposition,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,3,true,0.500000,1,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,functional_survival,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,structural,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,blind_functional_refactoring,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,blind_region_replacement,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,blind_semantic_cegis,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,functional_decomposition,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,3,true,0.750000,2,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,functional_survival,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,structural,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,blind_functional_refactoring,heldout__full_adder__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,blind_region_replacement,heldout__full_adder__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,blind_semantic_cegis,heldout__full_adder__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,functional_decomposition,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,functional_survival,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,structural,,3,false,1.000000,4,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,blind_functional_refactoring,heldout__full_adder__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,blind_region_replacement,heldout__full_adder__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,blind_semantic_cegis,heldout__full_adder__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,functional_decomposition,heldout__full_adder__refactor_dc2__cp001_strash_1,3,true,0.500000,1,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,functional_survival,heldout__full_adder__refactor_dc2__cp001_strash_1,3,true,0.500000,1,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,structural,,3,false,1.000000,4,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,blind_functional_refactoring,heldout__full_adder__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,blind_region_replacement,heldout__full_adder__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,blind_semantic_cegis,heldout__full_adder__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,functional_decomposition,heldout__full_adder__rewrite_then_balance__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,functional_survival,heldout__full_adder__rewrite_then_balance__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
