boundary_id,trajectory_id,method,from_checkpoint,to_checkpoint,transition,from_level,to_level,schema_version
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,blind_semantic_cegis,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,functional_decomposition,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,success_to_failure,R7_oracle_window_decomposition,R8_non_local_global_factorisation,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,functional_decomposition,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp002_refactor_1,failure_to_success,R8_non_local_global_factorisation,R5_oracle_divisor_compact_decomposition,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,functional_decomposition,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp002_refactor_1,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,success_to_failure,R7_oracle_window_decomposition,R9_unresolved,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,functional_decomposition,,,summary,longest_success_interval=1,last_success_checkpoint=2,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,functional_survival,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,success_to_failure,R1_functional_internal_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,functional_survival,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,structural,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,success_to_failure,R0_structural_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,structural,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,blind_semantic_cegis,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,functional_decomposition,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,success_to_failure,R7_oracle_window_decomposition,R8_non_local_global_factorisation,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,functional_decomposition,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,functional_survival,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,success_to_failure,R1_functional_internal_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,functional_survival,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,structural,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,success_to_failure,R0_structural_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,structural,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,blind_semantic_cegis,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,functional_decomposition,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,success_to_failure,R7_oracle_window_decomposition,R8_non_local_global_factorisation,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,functional_decomposition,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,failure_to_success,R8_non_local_global_factorisation,R5_oracle_divisor_compact_decomposition,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,functional_decomposition,,,summary,longest_success_interval=1,last_success_checkpoint=3,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,functional_survival,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,success_to_failure,R1_functional_internal_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,functional_survival,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,structural,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,success_to_failure,R0_structural_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,structural,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,blind_semantic_cegis,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,functional_decomposition,controlled__controlled_xor_factor__refactor_dc2__cp000_source,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,success_to_failure,R7_oracle_window_decomposition,R8_non_local_global_factorisation,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,functional_decomposition,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,failure_to_success,R8_non_local_global_factorisation,R5_oracle_divisor_compact_decomposition,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,functional_decomposition,,,summary,longest_success_interval=1,last_success_checkpoint=3,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,functional_survival,controlled__controlled_xor_factor__refactor_dc2__cp000_source,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,success_to_failure,R1_functional_internal_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,functional_survival,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,structural,controlled__controlled_xor_factor__refactor_dc2__cp000_source,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,success_to_failure,R0_structural_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,structural,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,blind_semantic_cegis,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,functional_decomposition,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,success_to_failure,R7_oracle_window_decomposition,R8_non_local_global_factorisation,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,functional_decomposition,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,failure_to_success,R8_non_local_global_factorisation,R5_oracle_divisor_compact_decomposition,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,functional_decomposition,,,summary,longest_success_interval=2,last_success_checkpoint=3,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,functional_survival,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,success_to_failure,R1_functional_internal_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,functional_survival,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,structural,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,success_to_failure,R0_structural_survival,R9_unresolved,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,structural,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,blind_semantic_cegis,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,functional_decomposition,heldout__full_adder__mild_balance_rewrite__cp000_source,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,success_to_failure,R7_oracle_window_decomposition,R8_non_local_global_factorisation,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,functional_decomposition,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,functional_survival,heldout__full_adder__mild_balance_rewrite__cp000_source,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,success_to_failure,R1_functional_internal_survival,R9_unresolved,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,functional_survival,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,structural,,,summary,longest_success_interval=4,last_success_checkpoint=3,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,blind_semantic_cegis,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
