result_id,benchmark,design_family,split,boundary_id,trajectory_id,checkpoint_id,checkpoint_index,pass_name,method,oracle_mode,recovery_level,recovered,semantic_proof_status,decomposition_status,solver_result,counterexample_available,counterexample_reproduced,runtime_s,timeout,failure_reason,deterministic_seed,schema_version
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_divisor,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,0,source,functional_decomposition,oracle_divisor,R5_oracle_divisor_compact_decomposition,true,decomposable,decomposable,unsat,false,true,0.001291,false,,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_divisor_support,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,0,source,functional_decomposition,oracle_divisor_support,R6_oracle_divisor_support_decomposition,true,decomposable,decomposable,unsat,false,true,0.001667,false,,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_window,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,0,source,functional_decomposition,oracle_window,R7_oracle_window_decomposition,true,decomposable,decomposable,unsat,false,true,0.001573,false,,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__functional_decomposition__oracle_divisor,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,1,strash,functional_decomposition,oracle_divisor,R8_non_local_global_factorisation,false,decomposable,decomposable,unsat,false,true,0.001146,false,only_non_local_decomposition_established,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,1,strash,functional_decomposition,oracle_divisor_support,R8_non_local_global_factorisation,false,decomposable,decomposable,unsat,false,true,0.001131,false,only_non_local_decomposition_established,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__functional_decomposition__oracle_window,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,1,strash,functional_decomposition,oracle_window,R8_non_local_global_factorisation,false,decomposable,decomposable,unsat,false,true,0.001132,false,only_non_local_decomposition_established,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__functional_decomposition__oracle_divisor,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,functional_decomposition,oracle_divisor,R5_oracle_divisor_compact_decomposition,true,decomposable,decomposable,unsat,false,true,0.000775,false,,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,functional_decomposition,oracle_divisor_support,R6_oracle_divisor_support_decomposition,true,decomposable,decomposable,unsat,false,true,0.000772,false,,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__functional_decomposition__oracle_window,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,functional_decomposition,oracle_window,R7_oracle_window_decomposition,true,decomposable,decomposable,unsat,false,true,0.000778,false,,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1__functional_decomposition__oracle_divisor,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1,3,balance,functional_decomposition,oracle_divisor,R5_oracle_divisor_compact_decomposition,true,decomposable,decomposable,unsat,false,true,0.000673,false,,0,semantic_recoverability_frontier_v1
