boundary_id,trajectory_id,insertion_checkpoint,suffix_checkpoint,suffix_pass_name,textually_present,graph_active,functionally_equivalent,blind_identifiable,useful_for_decomposition,boundary_survives_suffix,global_cec_status,schema_version
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,balance,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,balance,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,balance,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp000_source,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp000_source,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp000_source,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,dc2,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,dc2,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,dc2,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp002_refactor_1,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,dc2,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp002_refactor_1,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,dc2,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp002_refactor_1,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,dc2,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp000_source,development__full_adder__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp000_source,development__full_adder__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp000_source,development__full_adder__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp000_source,development__full_adder__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
